Comment,Designator,Footprint,LCSC
"20pF,50V,C0G ","C1,C2","C_0402_1005Metric","C1554"
"1uF,25V,X5R ","C16,C18","C_0402_1005Metric","C52923"
"2.2uF,6.3V,X5R ","C23","C_0402_1005Metric","C12530"
"100nF,16V,X7R ","C3,C4,C6,C7,C8,C10,C11,C12,C13,C14","C_0402_1005Metric","C1525"
"10uF,6.3V,X5R ","C5,C15,C17,C19,C20,C21,C22","C_0402_1005Metric","C15525"
"10uF,10V,X5R ","C9","C_0603_1608Metric","C19702"
"LED","D1","tom-opto:LED_0805_2012Metric","C2296"
"1550Z109","H1","keypad-base:1550Z109",""
"mech-only-no-pins","H2,H3,H4,H5","tom-mechanical:STUD_SOLDER_SMTSO_M3",""
"USB_C_Receptacle_USB2.0","J1","tom-connectors:USB_C_Receptacle_GT-USB-7010","C709357"
"Conn_02x05_SWD","J3","tom-connectors:FTSH-105-01-F-DV-K",""
"AO3400A","Q1","tom-semiconductors:SOT-23","C20917"
"1k","R1,R14","R_0402_1005Metric","C11702"
"5.1k","R2,R5","R_0402_1005Metric","C25905"
"27","R3,R4","R_0603_1608Metric","C25190"
"470","R6,R9,R10,R11,R12,R13,R16","R_0402_1005Metric","C25117"
"10k","R7,R8,R15","R_0402_1005Metric","C25744"
"Switch_SW_Push","SW1,SW2,SW3,SW4,SW5,SW6","tom-mechanical:MX-KailhClip-1.00u-no-top-ring","C2803348"
"Switch_SW_Push","SW7,SW8,SW9","tom-mechanical:SW_SPST_SMD_SIDE_C319395","C319395"
"TestPoint","TP1","tom-mechanical:TestPoint_Pad_D1.0mm",""
"RP2040","U1","tom-semiconductors:RP2040-QFN-56","C2040"
"W25Q128JVS","U11","tom-semiconductors:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"IE096HQ1301CL","U3,U4,U5,U6,U7,U8","tom-mechanical:IE096HQ1301CL",""
"LM1117MPX-3.3","VR1","VREG_LM1117MPX-3.3","C9662"
"12MHz","X1","tom-passives:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"
